ReservoirName,RecordTime,WaterStorageRate
寶山第二水庫,2019-06-25,99.92
永和山水庫,2019-06-25,96.16
明德水庫,2019-06-25,96.4
鯉魚潭水庫,2019-06-25,100.0
德基水庫,2019-06-25,88.06
石岡壩,2019-06-25,27.64
霧社水庫,2019-06-25,78.57
日月潭水庫,2019-06-25,92.12
湖山水庫,2019-06-25,100.0
仁義潭水庫,2019-06-25,96.48
白河水庫,2019-06-25,55.28
烏山頭水庫,2019-06-25,90.34
曾文水庫,2019-06-25,74.38
南化水庫,2019-06-25,94.44
阿公店水庫,2019-06-25,3.4
牡丹水庫,2019-06-25,48.75
石門水庫,2019-08-02,94.23
新山水庫,2019-08-02,96.36
翡翠水庫,2019-08-02,70.72
寶山第二水庫,2019-08-02,100.0
永和山水庫,2019-08-02,96.97
明德水庫,2019-08-02,85.38
鯉魚潭水庫,2019-08-02,100.0
德基水庫,2019-08-02,75.54
石岡壩,2019-08-02,51.01
霧社水庫,2019-08-02,48.94
日月潭水庫,2019-08-02,96.05
湖山水庫,2019-08-02,100.0
仁義潭水庫,2019-08-02,96.48
白河水庫,2019-08-02,53.4
烏山頭水庫,2019-08-02,81.86
曾文水庫,2019-08-02,85.56
南化水庫,2019-08-02,98.96
阿公店水庫,2019-08-02,0.03
牡丹水庫,2019-08-02,71.73
石門水庫,2019-08-16,97.99
新山水庫,2019-08-16,92.37
翡翠水庫,2019-08-16,73.59
寶山第二水庫,2019-08-16,97.67
永和山水庫,2019-08-16,97.08
明德水庫,2019-08-16,100.0
鯉魚潭水庫,2019-08-16,100.0
德基水庫,2019-08-16,91.04
石岡壩,2019-08-16,17.58
霧社水庫,2019-08-16,95.81
日月潭水庫,2019-08-16,96.04
湖山水庫,2019-08-16,99.01
仁義潭水庫,2019-08-16,98.01
白河水庫,2019-08-16,83.21
烏山頭水庫,2019-08-16,97.65
曾文水庫,2019-08-16,89.52
南化水庫,2019-08-16,100.0
阿公店水庫,2019-08-16,0.04
牡丹水庫,2019-08-16,72.07
石門水庫,2019-04-27,62.68
新山水庫,2019-04-27,90.26
翡翠水庫,2019-04-27,73.44
寶山第二水庫,2019-04-27,100.0
永和山水庫,2019-04-27,71.5
明德水庫,2019-04-27,96.13
鯉魚潭水庫,2019-04-27,70.35
德基水庫,2019-04-27,79.24
石岡壩,2019-04-27,23.15
霧社水庫,2019-04-27,58.53
日月潭水庫,2019-04-27,95.05
湖山水庫,2019-04-27,22.75
仁義潭水庫,2019-04-27,27.23
烏山頭水庫,2019-04-27,76.67
曾文水庫,2019-04-27,16.34
南化水庫,2019-04-27,35.94
牡丹水庫,2019-04-27,39.4
石門水庫,2019-11-17,90.36
新山水庫,2019-11-17,77.1
翡翠水庫,2019-11-17,78.6
寶山第二水庫,2019-11-17,88.25
永和山水庫,2019-11-17,88.99
明德水庫,2019-11-17,64.78
鯉魚潭水庫,2019-11-17,89.01
德基水庫,2019-11-17,85.56
石岡壩,2019-11-17,60.23
霧社水庫,2019-11-17,12.09
日月潭水庫,2019-11-17,96.86
湖山水庫,2019-11-17,88.02
仁義潭水庫,2019-11-17,81.42
白河水庫,2019-11-17,17.37
烏山頭水庫,2019-11-17,84.45
曾文水庫,2019-11-17,73.69
南化水庫,2019-11-17,87.3
阿公店水庫,2019-11-17,93.66
牡丹水庫,2019-11-17,84.58
石門水庫,2019-02-09,64.81
新山水庫,2019-02-09,89.09
翡翠水庫,2019-02-09,86.24
寶山第二水庫,2019-02-09,38.22
永和山水庫,2019-02-09,42.44
明德水庫,2019-02-09,49.8
鯉魚潭水庫,2019-02-09,46.51
德基水庫,2019-02-09,54.09
石岡壩,2019-02-09,14.34
霧社水庫,2019-02-09,16.0
日月潭水庫,2019-02-09,88.23
